id	loc	bytes	jp	en
74	11:$4284	8	ものわすれのくさ	
75	11:$428D	6	いのちのくさ	
76	11:$4294	9	いかくちょうのたね	
77	11:$429E	10	いしゅくしょうのたね	
78	11:$42A9	8	すばやさのたね	
79	11:$42B2	6	ちからのたね	
80	11:$42B9	7	どくけしそう	
81	11:$42C1	5	どくそう	
82	11:$42C7	6	こんらんそう	
83	11:$42CE	6	すいみんそう	
84	11:$42D5	5	ざっそう	
85	11:$42DB	7	たかとびそう	
86	11:$42E3	6	しんきくさ1	
87	11:$42EA	9	おはらいのまきもの	
88	11:$42F4	10	しきべつのまきもの	
89	11:$42FF	8	あかりのまきもの	
90	11:$4308	14	つぼぞうだいのまきもの	
91	11:$4317	12	しんくうぎりのまきもの	
92	11:$4324	9	くちなしのまきもの	
93	11:$432E	10	ひきあげのまきもの	
94	11:$4339	11	こまったときのまきもの	
95	11:$4345	12	てきばいそくのまきもの	
96	11:$4352	10	バクスイのまきもの	
97	11:$435D	13	パワーアップのまきもの	
98	11:$436B	10	ぜんめつのまきもの	
99	11:$4376	10	じばくのまきもの	
100	11:$4381	10	おおべやのまきもの	
101	11:$438C	13	モンスターハウスのまきもの	
102	11:$439A	9	こんらんのまきもの	
103	11:$43A4	13	ジェノサイドのまきもの	
104	11:$43B2	8	はくしのまきもの	
105	11:$43BB	9	まいごのまきもの	
106	11:$43C5	12	てんのめぐみのまきもの	
107	11:$43D2	11	ちのめぐみのまきもの	
108	11:$43DE	8	メッキのまきもの	
109	11:$43E7	10	すいだしのまきもの	
110	11:$43F2	10	ひろえずのまきもの	
111	11:$43FD	9	コロコロのまきもの	
112	11:$4407	8	しんきまきもの1	
113	11:$4410	8	しんきまきもの2	
114	11:$4419	7	ふういんのつえ	
115	11:$4421	9	ふきとばしのつえ	
116	11:$442B	7	しあわせのつえ	
117	11:$4433	6	ふこうのつえ	
118	11:$443A	8	みがわりのつえ	
119	11:$4443	10	ばしょがえのつえ	
120	11:$444E	6	しんきつえ2	
121	11:$4455	7	まどうのつえ	
122	11:$445D	9	かなしばりのつえ	
123	11:$4467	11	いちじしのぎのつえ	
124	11:$4473	8	いたみわけのつえ	
125	11:$447C	6	しんきつえ1	
126	11:$4483	8	ほぞんのツボ	
127	11:$448C	10	やりすごしのツボ	
128	11:$4497	9	ぶんれつのツボ	
129	11:$44A1	8	きょうかのツボ	
130	11:$44AA	9	しきべつのツボ	
131	11:$44B4	7	せなかのツボ	
132	11:$44BC	7	そうこのツボ	
133	11:$44C4	9	じゃくかのツボ	
134	11:$44CE	8	そこぬけのツボ	
135	11:$44D7	8	まもののルツボ	
136	11:$44E0	8	へんげのツボ	
137	11:$44E9	9	ごうせいのツボ	
138	11:$44F3	7	トドのツボ	
139	11:$44FB	7	しんきツボ1	
140	11:$4503	8	おうごんのはね	
141	11:$450C	7	しあわせのはこ	
142	11:$4514	7	きみょうなはこ	
143	11:$451C	7	イェンダー1	
144	11:$4524	7	イェンダー2	
145	11:$452C	4	ギタン	
146	11:$4531	5	かさタヌキ	
147	11:$4673	9	ダイヤのうでわ	
148	11:$467D	9	パールのうでわ	
149	11:$4687	9	ルビーのうでわ	
150	11:$4691	10	サファイアのうでわ	
151	11:$469C	9	サンゴのうでわ	
152	11:$46A6	11	エメラルドのうでわ	
153	11:$46B2	11	アメジストのうでわ	
154	11:$46BE	10	オパールのうでわ	
155	11:$46C9	8	ヒスイのうでわ	
156	11:$46D2	8	コハクのうでわ	
157	11:$46DB	11	トパーズのうでわ	
158	11:$46E7	8	メノウのうでわ	
159	11:$46F0	10	クリスタルのうでわ	
160	11:$46FB	11	ガーネットのうでわ	
161	11:$4707	11	アクアマリンのうでわ	
162	11:$4713	9	ガラスのうでわ	
163	11:$471D	10	プラチナのうでわ	
164	11:$472C	5	あかいくさ	
165	11:$4732	5	あおいくさ	
166	11:$4738	6	きいろいくさ	
167	11:$473F	7	みどりのくさ	
168	11:$4747	5	しろいくさ	
169	11:$474D	5	くろいくさ	
170	11:$4753	7	つちいろのくさ	
171	11:$475B	8	かっしょくのくさ	
172	11:$4764	7	むらさきのくさ	
173	11:$476C	7	ちゃいろのくさ	
174	11:$4774	7	はいいろのくさ	
175	11:$477C	8	みずいろのくさ	
176	11:$4785	7	しゅいろのくさ	
177	11:$478D	7	こんいろのくさ	
178	11:$4795	9	ピンクいろのくさ	
179	11:$479F	10	オレンジいろのくさ	
180	11:$47AA	8	はだいろのくさ	
181	11:$47B3	9	クリームいろのくさ	
182	11:$47BD	9	ベージュのくさ	
183	11:$47C7	10	こげちゃいろのくさ	
184	11:$47D2	8	レモンいろのくさ	
185	11:$47DB	8	バラいろのくさ	
186	11:$47E4	9	こがねいろのくさ	
187	11:$47EE	9	おうどいろのくさ	
188	11:$47F8	11	ネズミのえのまきもの	
189	11:$4804	9	ウシのえのまきもの	
190	11:$480E	9	トラのえのまきもの	
191	11:$4818	11	ウサギのえのまきもの	
192	11:$4824	10	リュウのえのまきもの	
193	11:$482F	10	ヘビのえのまきもの	
194	11:$483A	9	ウマのえのまきもの	
195	11:$4844	11	ヒツジのえのまきもの	
196	11:$4850	9	サルのえのまきもの	
197	11:$485A	11	ニワトリのえのまきもの	
198	11:$4866	9	イヌのえのまきもの	
199	11:$4870	11	イノシシのえのまきもの	
200	11:$487C	9	ネコのえのまきもの	
201	11:$4886	9	シカのえのまきもの	
202	11:$4890	10	カエルのえのまきもの	
203	11:$489B	11	トカゲのえのまきもの	
204	11:$48A7	10	ゾウのえのまきもの	
205	11:$48B2	10	キリンのえのまきもの	
206	11:$48BD	9	クマのえのまきもの	
207	11:$48C7	9	カメのえのまきもの	
208	11:$48D1	9	ツルのえのまきもの	
209	11:$48DB	11	スズメのえのまきもの	
210	11:$48E7	11	ライオンのえのまきもの	
211	11:$48F3	9	サイのえのまきもの	
212	11:$48FD	12	コンドルのえのまきもの	
213	11:$490A	9	ワニのえのまきもの	
214	11:$4914	10	キツネのえのまきもの	
215	11:$491F	6	さくらのつえ	
216	11:$4926	5	うめのつえ	
217	11:$492C	5	まつのつえ	
218	11:$4932	5	たけのつえ	
219	11:$4938	6	すぎのつえ	
220	11:$493F	7	やなぎのつえ	
221	11:$4947	5	くりのつえ	
222	11:$494D	5	きんのつえ	
223	11:$4953	6	ぎんのつえ	
224	11:$495A	6	どうのつえ	
225	11:$4961	5	てつのつえ	
226	11:$4967	5	いしのつえ	
227	11:$496D	6	ほそいツボ	
228	11:$4974	6	まるいツボ	
229	11:$497B	7	しかくいツボ	
230	11:$4983	8	さんかくのツボ	
231	11:$498C	10	でこぼこのツボ	
232	11:$4997	6	ふといツボ	
233	11:$499E	9	ほしがたのツボ	
234	11:$49A8	11	たまごがたのツボ	
235	11:$49B4	6	あさいツボ	
236	11:$49BB	6	ふかいツボ	
237	11:$49C2	9	ゆがんだツボ	
238	11:$49CC	8	くびれたツボ	
239	11:$49D5	12	みかづきがたのツボ	
240	11:$49E2	9	ひしがたのツボ	
241	11:$4B2C	3	マムル	
242	11:$4B30	5	しのつかい	
243	11:$4B36	6	ギャザー	
244	11:$4B3D	5	ボウヤー	
245	11:$4B43	4	ガマラ	
246	11:$4B48	6	デブータ	
247	11:$4B4F	6	きりせんにん	
248	11:$4B56	4	ミドロ	
249	11:$4B5B	6	ぬすっトド	
250	11:$4B62	7	くねくねハニー	
251	11:$4B6A	8	エーテルもどき	
252	11:$4B73	8	アイアンヘッド	
253	11:$4B7C	9	おばけダイコン	
254	11:$4B86	5	すすりムシ	
255	11:$4B8C	6	セルアーマー	
256	11:$4B93	4	タウロス	
257	11:$4B98	7	いやしウサギ	
258	11:$4BA0	6	きめんむしゃ	
259	11:$4BA7	8	ぼうれいむしゃ	
260	11:$4BB0	7	マスターチキン	
261	11:$4BB8	3	チキン	
262	11:$4BBC	8	こぞうてんぐ	
263	11:$4BC5	5	ぴーたん	
264	11:$4BCB	6	シューベル	
265	11:$4BD2	7	とおせんりゅう	
266	11:$4BDA	8	パコレプキン	
267	11:$4BE3	8	オヤジせんしゃ	
268	11:$4BEC	8	にぎりへんげ	
269	11:$4BF5	6	ノロージョ	
270	11:$4BFC	9	ガイコツまどう	
271	11:$4C06	5	ゲイズ	
272	11:$4C0C	8	コドモせんしゃ	
273	11:$4C15	8	ちょうちんふぐ	
274	11:$4C1E	6	ヤミウッチー	
275	11:$4C25	8	ばくだんウニ	
276	11:$4C2E	5	モラビー	
277	11:$4C34	6	にらみヘビ	
278	11:$4C3B	8	ねずみこぶん	
279	11:$4C44	7	カラスてんぐ	
280	11:$4C4C	9	かっとびイノシシ	
281	11:$4C56	5	かさタヌキ	
282	11:$4C5C	7	カラカイおさる	
283	11:$4C64	4	チンタラ	
284	11:$4C69	3	オロチ	
285	11:$4C6D	8	あなぐらマムル	
286	11:$4C76	9	じごくのししゃ	
287	11:$4C80	9	キラーギャザー	
288	11:$4C8A	8	クロスボウヤー	
289	11:$4C93	7	ガマグッチ	
290	11:$4C9B	7	デブーチョ	
291	11:$4CA3	6	みのせんにん	
292	11:$4CAA	5	ゲドロ	
293	11:$4CB0	7	みどりトド	
294	11:$4CB8	7	くねくねハニー	
295	11:$4CC0	8	エーテルもどき	
296	11:$4CC9	8	チェインヘッド	
297	11:$4CD2	9	めまわしダイコン	
298	11:$4CDC	8	きゅういんちゅう	
299	11:$4CE5	7	クロムアーマー	
300	11:$4CED	6	ミノタウロス	
301	11:$4CF4	7	いやしウサギ	
302	11:$4CFC	7	はんにゃむしゃ	
303	11:$4D04	8	ぼうれいむしゃ	
304	11:$4D0D	8	グレートチキン	
305	11:$4D16	7	カラスてんぐ	
306	11:$4D1E	8	にげピータン	
307	11:$4D27	6	メンベルス	
308	11:$4D2E	10	ドラゴンヘッド	
309	11:$4D39	9	パコレプキーナ	
310	11:$4D43	8	ガンコせんしゃ	
311	11:$4D4C	8	にぎりおやかた	
312	11:$4D55	9	ノロージョのあね	
313	11:$4D5F	9	ガイコツまじん	
314	11:$4D69	10	スーパーゲイズ	
315	11:$4D74	6	ちびタンク	
316	11:$4D7B	8	あんどんフグ	
317	11:$4D84	6	フイウッチー	
318	11:$4D8B	8	ばくだんウニ	
319	11:$4D94	5	ワラビー	
320	11:$4D9A	9	ギョロつきヘビ	
321	11:$4DA4	9	ねずみおやぶん	
322	11:$4DAE	9	ハヤブサてんぐ	
323	11:$4DB8	9	げきとつイノシシ	
324	11:$4DC2	7	からかさタヌキ	
325	11:$4DCA	7	チャカシおさる	
326	11:$4DD2	7	ちゅうチンタラ	
327	11:$4DDA	3	オロチ	
328	11:$4DDE	8	どうくつマムル	
329	11:$4DE7	5	しにがみ	
330	11:$4DED	8	ヘルギャザー	
331	11:$4DF6	6	ボウヤー3	
332	11:$4DFD	6	ガマゴン	
333	11:$4E04	7	デブートン	
334	11:$4E0C	7	かすみせんにん	
335	11:$4E14	4	オドロ	
336	11:$4E19	7	アイアントド	
337	11:$4E21	7	くねくねハニー	
338	11:$4E29	8	エーテルもどき	
339	11:$4E32	8	ギガヘッド	
340	11:$4E3B	8	ねむりダイコン	
341	11:$4E44	8	がぶのみムシ	
342	11:$4E4D	7	チタンアーマー	
343	11:$4E55	7	メガタウロス	
344	11:$4E5D	7	いやしウサギ	
345	11:$4E65	6	しょうぐん	
346	11:$4E6C	8	ぼうれいむしゃ	
347	11:$4E75	8	てんぐししょう	
348	11:$4E7E	8	とびぴーたん	
349	11:$4E87	8	ベルトーベン	
350	11:$4E90	9	スルードラゴン	
351	11:$4E9A	10	パコレプキング	
352	11:$4EA5	8	イッテツせんしゃ	
353	11:$4EAE	9	にぎりもとじめ	
354	11:$4EB8	9	ノロージョのはは	
355	11:$4EC2	8	ガイコツまおう	
356	11:$4ECB	10	ハイパーゲイズ	
357	11:$4ED6	6	ちびタンク	
358	11:$4EDD	7	かんてらフグ	
359	11:$4EE5	8	ダマシウッチー	
360	11:$4EEE	8	ばくだんウニ	
361	11:$4EF7	5	タカビー	
362	11:$4EFD	8	ガンたれヘビ	
363	11:$4F06	8	ねずみくろまく	
364	11:$4F0F	8	イヌワシてんぐ	
365	11:$4F18	8	かいめつイノシシ	
366	11:$4F21	7	たんたんタヌキ	
367	11:$4F29	8	ミクダシおさる	
368	11:$4F32	6	おおチンタラ	
369	11:$4F39	3	オロチ	
370	11:$4F3D	8	とうぞくばん	
371	11:$4F46	5	ばんけん	
372	11:$4F4C	4	てんしゅ	
373	11:$4F51	4	コッパ	
374	11:$4F56	5	フミのはは	
375	11:$4F5C	2	フミ	
376	11:$4F5F	3	ポチ	
377	11:$4F63	4	むらおさ	
378	11:$4F68	3	ナギ	
379	11:$4F6C	4	ニワトリ	
380	11:$4F71	4	かんぬし	
381	11:$4F76	8	ぱしりのゴン	
382	11:$4F7F	3	おかみ	
383	11:$4F83	3	ケヤキ	
384	11:$4F87	7	だいくのマサ	
385	11:$4F8F	9	だいくのキンジ	
386	11:$4F99	4	ロクロウ	
387	11:$4F9E	7	こどもマムル	
388	11:$4FA6	8	うらないババ	
389	11:$4FAF	4	タンモモ	
390	11:$4FB4	4	タグラ	
391	11:$4FB9	6	ヨシゾウタ	
392	11:$4FC0	3	つぼ	
393	11:$5330	10	 ぼうけんにでる	
394	11:$533B	8	 にっきをつくる	
395	11:$5344	8	 にっきをうつす	
396	11:$534D	7	 にっきをけす	
397	11:$5355	8	 なまえをかえる	
398	11:$535E	15	 ばんづけ／パスワード	
399	11:$536E	5	 かいそう	
400	11:$5374	10	 フェイのもんだい	
401	11:$537F	7	：ふうらいの 	
402	11:$5387	16	  をけしてもよろしいですか？	
403	11:$5398	8	 ふうらいにっき	
404	11:$53A1	4	やさしい	
405	11:$53A6	3	ふつう	
406	11:$53AA	6	むずかしい	
407	11:$53B1	7	ツキカゲむら	
408	11:$53B9	7	へんげのもり	
409	11:$53C1	9	コマシラどうくつ	
410	11:$53CB	8	けしんのいわば	
411	11:$53D4	7	クヨウとうげ	
412	11:$53DC	8	りゅうのあぎと	
413	11:$53E5	7	オロチのまくつ	
414	11:$53ED	12	ツキカゲむらでぐち	
415	11:$53FA	6	 どうぐ	
416	11:$5401	5	 あしもと	
417	11:$5407	3	 わな	
418	11:$540B	6	 かいだん	
419	11:$5412	5	 マップ	
420	11:$5418	5	 とじる	
421	11:$541E	6	 でぐち	
422	11:$5425	4	 おわる	
423	11:$542A	4	 おりる	
424	11:$542F	5	 あがる	
425	11:$5435	4	 すすむ	
426	11:$543A	5	 そのまま	
427	11:$5440	3	 ふむ	
428	11:$5444	7	 ばんづけ	
429	11:$544C	8	 パスワード	
430	11:$5459	9	もっとむずかしい	
431	11:$548B	17	ドラゴンけいモンスターにつよい	
432	11:$549D	16	ゴーストけいモンスターにつよい	
433	11:$54AE	13	ひとつめモンスターにつよい	
434	11:$54BC	19	ステータスをうばうモンスターにつよい	
435	11:$54D0	4	「にく」	
436	11:$54D5	7	かべをほれる	
437	11:$54DD	15	かならずこうげきがあたる	
438	11:$54ED	15	かいしんのいちげきがでる	
439	11:$54FD	21	まえ3ほうこう 1どにこうげきできる	
440	11:$5513	10	おなかがへりにくい	
441	11:$551E	10	おなかがへりやすい	
442	11:$5529	5	さびない	
443	11:$552F	5	「どく」	
444	11:$5535	19	ドラゴンのほのおのちからをよわめる	
445	11:$5549	16	うけたダメージを はねかえす	
446	11:$555A	14	まほうこうげきをはねかえす	
447	11:$5569	16	てきのこうげきがあたりにくい	
448	11:$557A	22	こうげきをうけるたびにつよさがさがる	
449	11:$5591	19	ばくはつのダメージをすくなくする	
450	11:$55A5	6	ぬすまれない	
451	11:$55C6	23	そうびするとこうげきりょくがあがるぞ	
452	11:$55DE	17	おおきなダメージをあたえるぞ	
453	11:$55F0	24	そうびするとぼうぎょりょくがあがるぞ	
454	11:$5609	7	そうびすると	
455	11:$5611	17	なげて つかうこともできるぞ	
456	11:$5623	15	なげても こうかがあるぞ	
457	11:$5633	11	とおくからモンスターを	
458	11:$563F	20	そうびすれば セレクトをおしながら	
459	11:$5654	16	Aボタンで やを うてるぞ	
460	11:$5665	17	カベになげてわれば なかみを	
461	11:$5677	8	とりだせるぞ	
462	11:$5680	14	なかまにも きいてしまうぞ	
463	11:$568F	14	モンスターにむかって ふると	
464	11:$56C3	23	フミ「・・・おかあさん<end><br> おかあさーん！！」	
465	11:$56DB	12	フミのはは「ああ・・・」	
466	11:$56E8	54	ナギ「フミちゃん ケガないかい？<br> つらかっただろうに・・・けど<br> よかったよ ぶじで・・・」	
467	11:$571F	33	むらおさ「オ、オロチを・・・<br> オロチを ついに たおしたのか！」	
468	11:$5741	11	キンジ「やったあ！」	
469	11:$574D	34	マサ「もう こどもたちを いけにえに<br> しなくても すむんだ！」	
470	11:$5770	133	ロクロウ「こんなメデタイことは<br> ないぜ。さあ こんやはえんかいだ！<end><brk> おっと しんぱいしなくてもいいぜ。<br> きょうは くもっているだろうから<br> へんしんは たぶん しねえぜ。<end><brk> さあ みんな！ <name>さんを<br> かこんで ドンチャンやろうぜ！」	
471	11:$57F6	12	みんな「おおーーっ！！」	
472	11:$5803	179	おかみ「きょうは わたしのおごり<br> だからね ジャンジャンのんで<br> おくれ<end>・・・と、<end><brk> ・・・あんた よくみたら にもつ<br> いっぱいもっていて それじゃ<br> くつろげないわね。<end><brk> たいせつな もちものは いまのうち<br> そうこに しまっておいたほうが<br> いいんじゃ ないかしら。<end><brk> よっぱらって なくしちゃうと<br> いけないし・・・」	
473	11:$58B7	45	おかみ「たいせつな もちものは<br> いまのうちに そうこへ しまった<br> ほうが いいわよ」	
474	11:$58E5	18	ロクロウ「はは・・・ゆかい ゆかい」	
475	11:$58F8	71	かんぬし「あのオロチを たおすとは<br> さすがじゃのう。<end><brk> はっきりいって いろいろアドバイス<br> した わしのおかげじゃがのう」	
476	11:$5940	98	だいくのマサ「もちものは なくすと<br> いけないから そうこに しまって<br> おいたほうが いいぜ。<end><brk> あのそうこは あんたのものなんだ<br> からよ。これからも じゆうに<br> つかってくれよ」	
477	11:$59A3	41	うらないオババ「こんなに おおさわぎ<br> するのも なんねんぶりだろねえ」	
478	11:$59CD	84	ナギ「にいちゃん ありがとな。<br> おれ フミちゃんの かおをみれた<br> ときは もう・・・うれしくてさ。<end><brk> フミちゃんも だいぶおちついてきた<br> みたいだよ」	
479	11:$5A22	45	フミ「・・・おにいちゃん<br> ・・・わたし・・・まだ・・<br> ドキドキしちゃって・・・」	
480	11:$5A50	35	タグラ「また さんにんで<br> あそべるんだね。わーい わーい！」	
481	11:$5A74	92	フミのはは「<name>さんの おふとん<br> を しいているんです。つかれたら<br> ここでやすんで くださいね。<end><brk> さっ これがおわったら わたしも<br> おかみさんを てつだわなきゃ！」	
482	11:$5AD1	20	ぱしりのゴン「うわっはっはっはー！」	
483	11:$5AE6	160	だいくのキンジ「さっき こんなカミが<br> おちてたんだけど・・・<end><brk> 『もちものを もちださずにクリアー<br> しても、パスワードはふえる・・・<end><brk> ほかにも いろんなことをすれば<br> パスワードは ふえていくぞ・・・』<end><brk> ・・・なんのことだか さっぱり<br> わからないけど <name>さん<br> わかる？」	
484	11:$5B87	73	コッパ「・・んでさぁ ヒック<end><brk> そのとき <name>があぶない！ と<br> おもったから オイラは ヨシゾウタ<br> を けんで バシュッと・・」	
485	11:$5BD1	49	ぱしりのゴン「うわっはっはっはー！<end><br> おめえ なかなかジョウダンが<br> うめえなーっ！」	
486	11:$5C03	49	だいくのキンジ「このイタチ<br> よっぱらうと ホラまで ふくだ！<br> うわっはっはっはー！」	
487	11:$5C35	34	コッパ「ぬ、ぬわにぃ・・・ヒック<br> オ、オイラはなあ・・・ん？<end><mode0>	
488	11:$5C58	45	 <name> どこいくんだ？ ヒック<end><brk> ああ オシッコか・・・<br> いってらっさーい ヒック」	
489	11:$5C86	75	コッパ「ヒック ええっと どこまで<br> はなしたっけ・・・そうだ そうだ<end><brk> そして オイラは じゅうそうのたて<br> を そうびした・・・」	
490	11:$5CD2	15	みんな「うわっはっはっはー！」	
491	11:$5CE2	425	むらおさ「なに？・・クヨウとうげの<br> かいぶつたちについてじゃと？<br> ・・・ふむ」<cE1><mode1>ぇ<cE0:1A><end><brk>むらおさ「<name>さんも おきづき<br> かとおもうが、じつは あそこにいる<br> かいぶつどもは みな、<end><brk> いけにえにされた こどもたち<br> なんですじゃ。<end>しかし たおした<br> ことを くいるひつようは ない。<end><brk> もとにもどれず ヨシゾウタの<br> いいなりに さまようよりは・・・<end><brk> いっそのこと じょうぶつしてあげた<br> ほうが あのコらもラクじゃろうて。<end><br> だからあそこを クヨウとうげと<end><brk> なづけたのじゃよ・・・<end><brk> ・・・ケヤキのことは しんぱい<br> せんでもよい。なんにちか まてば<br> かならず もどってきますじゃ。<end><brk> わがいちぞくの たいしつがある<br> いじょう ここいがいに すめる<br> ばしょは ないのです」<end><brk>むらおさ「さあ みんな まっておる。<br> はやく もどりましょう」	
492	11:$5E8C	62	<cF2><cF0><cF1><cF4>こうして シキタリをたちきったむらの<br>うたげが よどおし おこなわれた。<br>そして つぎのあさ・・・<mode1><$C8><mode1>モ<mode0>	
493	11:$5ECB	55	おかみ<mode1>こ「なにも きのうのきょう<br> でていかなくても・・・<mode1>Fもうすこし<br> ゆっくりしていったら？」<mode1><$C8><mode0>	
494	11:$5F03	92	コッパ<mode1>こ「オイラも ふつかよいだから<br> そうしたいところなんだけど<br> アイボウがさあ・・・<mode1>F<brk> けど<name>さあ、ケヤキちゃんって<br> コのこと ほんとにいいのかい？」<mode1>F<mode0>	
495	11:$5F60	85	フミのはは<mode1>こ「おかげさまで ほんとうに<br> ありがとうございました。<mode1>F<brk> すこしずつですが コトバのほうも<br> もどってきているみたいで・・」<mode1>F<mode0>	
496	11:$5FB6	47	フミ<mode1>こ「おにいちゃん・・・<mode1>と<br> たすけてくれて ありがとう・・・<mode1>ぇ<br> チュッ！」<mode1>と<mode0>	
497	11:$5FE6	18	ロクロウ<mode1>こ「たっしゃでな」<mode1>モ<mode0>	
498	11:$5FF9	28	ナギ<mode1>こ「にいちゃんたち<br> カッコよかったぜ」<mode1>F<mode0>	
499	11:$6016	33	だいくのマサ<mode1>こ「こんどきたら ウチを<br> たててやらあ」<mode1>F<mode0>	
500	11:$6038	30	かんぬし<mode1>こ「これっ！<mode1>ぇ<br> おそいではないかっ！」<mode1>F<mode0>	
501	11:$6057	25	ぱしりのゴン<mode1>こ「すみません・ハアハア」<mode1>F<mode0>	
502	11:$6071	34	むらおさ<mode1>こ「それでは げんきでな<br> ・・・<mode1>ぇん？」<mode1>ソ<cE7><mode0>	
503	11:$6094	15	ネコ<mode1>こ「ニャア・・・」<mode1>ッ<mode0>	
504	11:$60A4	19	だいくのマサ<mode1>こ「ノラネコ？」<mode1>F<mode0>	
505	11:$60B8	67	おかみ<mode1>こ「あれ じんじゃにいたノラネコ<br> でしょ？<mode1>モ さいきん みかけなかった<br> けど・・・<mode1>ぇかえってきたんだ」<mode1><$DC><mode0>	
506	11:$60FC	65	ぱしりのゴン<mode1>こ「うーっ<mode1>と そういえば<br> さっき じんじゃで ノラネコの<br> こえが きこえてたような・・・」<mode1><$DC><mode0>	
507	11:$613E	24	コッパ<mode1>こ「<name>！<mode1>ぇ もしかしたら！」<mode1>モ<cE7><mode0>	
508	11:$6157	20	おかみ<mode1>こ「ケヤキちゃん・・・」<mode1>F<cE7><mode0>	
509	11:$616C	144	ケヤキ<mode1>こ「やっぱり もういちど<br> あいたくて<mode1>と・<mode1>と・<mode1>と・<mode1>モ<br> もう いっちゃうんでしょ？<mode1>F<brk> <name>さんは フウライニンだもン<br> ね。<mode1>とつぎのぼうけんが まっているン<br> だものね。<mode1>ッだから<mode1>モ・・・」<mode1><$C8><brk>ケヤキ<mode1>こ「・・・あの<mode1>と これ あげる！」<mode1>モ<mode0>	
510	11:$61FD	17	<name>は やくそうを もらった。<mode1>F<mode0>	
511	11:$620F	101	ケヤキ<mode1>こ「たしか さいしょにあげたのも<br> やくそう だったよね。<mode1>F<brk> あたらしい たびだちだから<br> これがいいとおもって・・・<mode1>ッ<br> じゃ<mode1>と・<mode1>と・<mode1>と・<mode1>とおげんきで！」<mode1>F<mode0>	
512	11:$6275	20	コッパ<mode1>こ「いこうぜ！ <name>！」<mode1>ッ<mode0>	
513	11:$628A	19	だいくのマサ<mode1>こ「じゃあな」<mode1>ほ<mode0>	
514	11:$629E	17	ロクロウ<mode1>こ「ありがとよ」<mode1>ほ<mode0>	
515	11:$62B0	18	ナギ<mode1>こ「げんきでね！」<mode1>ほ<mode0>	
516	11:$62C3	17	むらおさ<mode1>こ「きをつけてな」<mode1>ほ<mode0>	
517	11:$62D5	32	<mode1>ぇケヤキ<mode1>こ「つぎのぼうけんも<br> がんばってね！<mode1>◀<mode0>	
518	11:$62F6	26	<cF2><cF0><cF1><br> たびのかみクロンの おいかぜを！<mode1><$C8><mode0>	
