# loc	class	extra_presses	chars_to_cut	jp_waits	en_waits	en
11:$71DE	SILENT	1	1	0	1	Kinji: Are you all right<br> after that fit?...<end><brk> You still look to be in<br> pain.
14:$6678	SILENT	1	0	0	1	Innkeeper: Back again?<end><brk> You must be very fond<br> of this village...
14:$695B	SILENT	1	0	0	1	Kinji: You usually talk<br> more than this...<end><brk> You are like <name><br> today.
14:$753A	SILENT	1	0	0	1	Rooster: Cock-a-doo!<br> Cock-a-doo!<end><brk> (<var> is<br> small fry! Bring me<br> Orochi!)
14:$7B2B	SILENT	1	0	0	1	Koppa: Keyaki said she<br> would wait at the<br> shrine...<end><brk> What do we do?
11:$5A22	SILENT	1	0	0	1	Fumi: ...Big brother...<end><brk> I... my heart is still<br> pounding...
11:$6B3B	SILENT	1	0	0	1	Yoshizota: I have taken<br> a liking to you.<end><brk> Let us drink again some<br> time!
11:$6BB2	SILENT	1	0	0	1	Chief: Thank you.<end><brk> I never thought to see<br> Nagi alive again...
11:$6D05	SILENT	1	0	0	1	Masa: You... you are not<br> bad at all.<end><brk> I have changed my view<br> of you.
11:$6E64	SILENT	1	0	0	1	Kinji: That is my<br> supper, mind.<end><brk> Do not tell the others.
11:$703D	SILENT	1	0	0	1	Old Seer: You have only<br> just eaten!<end><brk> You will wait until<br> supper.
11:$7151	SILENT	1	0	0	1	Kinji: Keyaki is lovely,<br> is she not...<end><brk> I... I...
11:$717E	SILENT	1	0	0	1	Masa: Just because<br> Keyaki is kind to you,<end><brk> do not go getting<br> ideas.
11:$7535	SILENT	1	0	0	1	Innkeeper: Keyaki still<br> has not come back.<end><brk> Whatever can have<br> happened.
11:$7581	SILENT	1	0	0	1	Fumi's Mom: Forgive me,<br> this is all I can do.<end><brk> But please, Fumi...
11:$7B7F	SILENT	1	0	0	1	Old Seer: At a time like<br> this,<end><brk> is one not usually<br> unable to eat a thing?
14:$5047	EXTRA	3	150	3	6	Innkeeper: Ah, you woke<br> up at last!<end><brk> You were crying out so<br> terribly in your sleep.<br> I was worried sick.<end><brk> Where are you? Why,<br> this is Moonlight<br> Village, dear.<end><brk> You were set upon by<br> monsters up at Kuyo<br> Pass, were you not?<end><brk> If your strength runs<br> out up there, you get<br> thrown out down here.<end><brk> Anyway, you ought to go<br> and thank Keyaki.<end><brk> She has been nursing<br> you this whole time.
11:$7493	EXTRA	3	77	2	5	Nagi: Big brother! I<br> want to come too after<br> all!<end><brk> I am coming with you!<br> No is not an answer!<end><brk> ...Or so I thought, but<br> I suddenly need the<br> toilet.<end><brk> Go on ahead!<end><brk> ...Or so I thought, but<br> now it will not come.<end><brk> Hmm. What do I do?
11:$76A4	EXTRA	3	39	4	7	Chief: What! The scroll<br> is gone!<end><brk> It was certainly there<br> until yesterday...<end><brk> Someone said they saw a<br> figure last night,<end><brk> heading for Dragonmaw.<end><brk> They took not the Easy<br> road but Normal or<br> Hard, it seems.<end><brk> Why not go by Normal or<br> Hard yourselves?<end><brk> Something may come of<br> it...<end><brk> Forgive me... that was<br> a most irresponsible<br> thing to say...
14:$59E2	EXTRA	2	97	1	3	Nagi: Waaah! Wh-what...<br> oh, not a monster. You<br> gave me a fright.<end><brk> ...Eh? You came to<br> rescue me?<end><brk> No! I am not going<br> back!<end><brk> Though I would go if<br> you promised to save<br> Fumi...
11:$6A97	EXTRA	2	93	1	3	Yoshizota: My name is<br> Yoshizota.<end><brk> I travel the country<br> selling medicine.<end><brk> I stop by this village<br> now and then.<end><brk> Say. You will be off to<br> save Fumi after this, I<br> suppose?
11:$6C15	EXTRA	2	85	2	4	Gon: Wh-what, Koppa is a<br> weasel?! Then I have<br> seen him.<end><brk> A few days before you<br> came.<end><brk> A weasel that smelled<br> fit to knock you down<br> walked past me.<end><brk> Only the once, mind.<br> But the way he was<br> headed...<end><brk> that was towards Kuyo<br> Pass. Uuungh.
11:$7A52	EXTRA	2	42	2	4	Masa: Ah, <name>.<end><brk> Kinji and I extended<br> the Warehouse<br> yesterday.<end><brk> Now it holds a good<br> many more items.<end><brk> Remember you can only<br> take 5 items<br> adventuring,<end><brk> and Pots lose their<br> contents. Do take care.
11:$657B	EXTRA	2	38	3	5	Masa: Beyond here is<br> what they call Kuyo<br> Pass.<end><brk> A terribly dangerous<br> place.<end><brk> If you must go, call at<br> the shrine first.<end><brk> The Shrine Priest will<br> tell you all sorts.<end><brk> Also, Kuyo Pass splits<br> into three roads.<end><brk> Look at the map on that<br> signboard and you can<br> choose.
11:$689B	EXTRA	2	36	2	4	Rokuro: Look, if a man<br> wants to go, why force<br> him to stay?<end><brk> Let him go.<end><brk> Well, it is easy for an<br> outsider.<end><brk> Even if the monsters<br> get him, he only gets<br> sent back here...<end><brk> Not like us...
11:$6D2B	EXTRA	2	29	3	5	Old Seer: Some 15 floors<br> from Moonlight Village<end><brk> lies the place they<br> call Dragonmaw.<end><brk> Orochi is a further 6<br> floors on.<end><brk> Some 21 floors from the<br> village, they say.<end><brk> ...As to why I tell you<br> this,<end><brk> I have begun to feel<br> you might do something<br> about it...
11:$69D8	EXTRA	2	27	2	4	Innkeeper: Good morning.<br> You slept very soundly.<end><brk> You must have been<br> quite worn out.<end><brk> By the way, you have a<br> visitor.<end><brk> He said to call him<br> when you woke. That man<br> over there.<end>
11:$709C	EXTRA	2	24	3	5	Rokuro: You... why do<br> you keep doing this?<end><brk> There is nothing in it<br> for you.<end><brk> ...Well. If you will<br> go, I will not stop<br> you.<end><brk> But I will tell you one<br> thing.<end><brk> Kuyo Pass splits into<br> three roads.<end><brk> Look at the map on that<br> signboard and you can<br> choose.
11:$67A8	EXTRA	2	19	1	3	Masa: N-not me, I will<br> not...<end><brk> Grandson of the Village<br> Chief or no,<end><brk> I am not going up<br> there!<end>
11:$7D0A	EXTRA	2	18	1	3	Kinji: Chomp chomp chomp<br> chomp!<end><brk> Chomp chomp chomp<br> chomp!!<end><brk> Chomp chomp chomp chomp<br> chomp!!!<end>
14:$5C73	EXTRA	2	11	2	4	Chief: W-wait! Do not be<br> alarmed!<end><brk> It is me. The village<br> chief.<end><brk> I look like this, but<br> my reason is my own.<end><brk> I will not harm you.<end><brk> Come closer and hear me<br> out.
11:$7C36	EXTRA	2	7	4	6	Masa: Hey, <name>! This<br> is the last job I can<br> do.<end><brk> I have widened the<br> Warehouse as far as it<br> will go.<end><brk> Well, that is the limit<br> of it.<end><brk> You can still only take<br> 5 items adventuring,<end><brk> and a Pot loses its<br> contents if you carry<br> it...<end><brk> The rest is up to you,<br> <name>!<end><brk> It is down to your own<br> arm. We are counting on<br> you!
11:$741D	EXTRA	2	2	2	4	Old Seer: Destiny, fate,<br> custom...<end><brk> All of them are about<br> to be overturned.<end><brk> Orochi is formidable,<br> true...<end><brk> but I feel a brighter<br> light still in you.<end>
14:$5AF5	EXTRA	2	0	3	5	Nagi: Right! I will go<br> back. Do not forget<br> your promise.<end><brk> ...Truth is, I was<br> scared out of my wits.<end><brk> So, er...<end><brk> ...I badly need the<br> toilet.<end><brk> Let us hurry home.<end>
14:$67EB	EXTRA	2	0	3	5	Keyaki: Here, take this!<br> They call it an ID<br> Bracer.<end><brk> Terribly useful, they<br> say... Eh?<end><brk> You cannot take it with<br> you?!<end><brk> Oh... what a shame.<end><brk> Cheering you on is all<br> I can do... Good luck!<end>
14:$5146	EXTRA	1	87	2	3	Innkeeper: You mean<br> Keyaki? Oh, stop that.<br> She is not my girl.<end><brk> I am still single, I<br> will have you know.<end><brk> She drifts in here now<br> and then and helps out<br> around the place.<end><brk> She is an odd one in<br> her way, but a good<br> girl. That child is...
11:$77A6	EXTRA	1	63	1	2	Nagi: The other day an<br> odd shield was lying by<br> the river,<end><brk> but I needed the toilet<br> so I came home without<br> it.<end><brk> I will fetch it next<br> time.
11:$6745	EXTRA	1	61	1	2	Chief: Madness! He will<br> be monster fodder and<br> nothing more!<end><brk> He cannot have got far<br> yet!<end><brk> Go after him now and<br> you should be in<br> time...
11:$7D79	EXTRA	1	59	1	2	Rokuro: Truth is, I have<br> something to give you,<br> <name>...<end><brk> But <name>, you are<br> carrying 5 items or<br> more,<end><brk> so I cannot hand it<br> over. Never mind...
11:$5A74	EXTRA	1	58	1	2	Fumi's Mom: I am laying<br> out bedding for <name>.<end><brk> If you are tired, do<br> rest here.<end><brk> Now, once this is done<br> I must go and help the<br> Innkeeper!
14:$5875	EXTRA	1	57	1	2	Innkeeper: Knocked down,<br> and back up again, over<br> and over...<end><brk> You are the man I took<br> you for, and no<br> mistake.<end><brk> Good luck out there!
11:$64FA	EXTRA	1	56	1	2	Innkeeper: Oh my, a<br> customer?<end><brk> Eh, no? What a shame.<br> We so rarely get<br> visitors from outside.<end><brk> Frankly I am bored out<br> of my wits...
11:$5940	EXTRA	1	55	1	2	Masa: Store your things<br> in the Warehouse.<end><brk> It would be a shame to<br> lose them.<end><brk> That Warehouse is<br> yours. Use it freely<br> from now on.
11:$7803	EXTRA	1	55	1	2	Old Seer: For the first<br> time, hope is being<br> born<end><brk> in the villagers.<end><brk> Thanks to you, light is<br> beginning to reach this<br> village too.
14:$574F	EXTRA	1	47	2	3	Masa: Items left in the<br> Warehouse are not lost<br> if you fall.<end><brk> Mind you, everything<br> inside a Pot vanishes.<br> Be careful.<end><brk> And you can only take 5<br> items with you.<end><brk> Pots lose their<br> contents, remember.
11:$785F	EXTRA	1	47	2	3	Masa: Items left in the<br> Warehouse are not lost<br> if you fall.<end><brk> Mind you, everything<br> inside a Pot vanishes.<br> Be careful.<end><brk> And you can only take 5<br> items with you.<end><brk> Pots lose their<br> contents, remember.
14:$52C7	EXTRA	1	43	2	3	Innkeeper: Keyaki? She<br> looked to be headed for<br> the shrine...<end><brk> A whimsical thing. Now<br> and then she drifts off<br> somewhere.<end><brk> Like a cat.<end><brk> Not that I am busy,<br> mind. There are no<br> customers either.
11:$59CD	EXTRA	1	43	1	2	Nagi: Thank you, big<br> brother.<end><brk> When I saw Fumi's face<br> again I was just... so<br> happy.<end><brk> Fumi seems a lot calmer<br> now too.
11:$6963	EXTRA	1	43	1	2	Keyaki: Ah... are you a<br> traveller?<end><brk> If it is lodging you<br> want, it is just down<br> from here.<end><brk> A place called the<br> Totoya.
14:$551D	EXTRA	1	40	1	2	Keyaki: No. I found her<br> behind the shrine a<br> little while ago.<end><brk> She was freezing, poor<br> thing...<end><brk> Do be good to her!
11:$5770	EXTRA	1	40	2	3	Rokuro: There is no<br> happier news! Tonight<br> we feast!<end><brk> Oh, no need to worry.<br> It should be cloudy<br> tonight.<end><brk> So we likely will not<br> change.<end><brk> Come, everyone! Gather<br> round <name> and let us<br> make merry!
14:$5451	EXTRA	1	38	1	2	Keyaki: The thing is, I<br> would like you to look<br> after this cat a while.<end><brk> Her name is Tanmomo. Do<br> be good to her!<end>
11:$5B87	EXTRA	1	36	1	2	Koppa: ...And so, hic.<end><brk> Right then I thought,<br> <name> is in danger!<end><brk> So I ran Yoshizota<br> through with my sword,<br> shff...
14:$5996	EXTRA	1	35	1	2	Gon: Whenever the Shrine<br> Priest looks set to<br> scold me,<end><brk> I use this to run off.<end><brk> Uuungh. Comes in right<br> handy.
14:$6338	EXTRA	1	35	1	2	Chief: Oho, what is the<br> matter?<end><brk> What? You cannot leave<br> Moonlight Village?<end><brk> Hmmm. Strange things do<br> happen...
11:$67E4	EXTRA	1	32	1	2	Rokuro: If the monsters<br> get him up there, that<br> is the end.<end><brk> He never comes back.<end><brk> We can only give him<br> up.
11:$6F44	EXTRA	1	25	1	2	Gon: Uuungh. No, I have<br> not seen him.<end><brk> This Koppa fellow.<end><brk> Gone off to another<br> village, has he not?
11:$7BE1	EXTRA	1	25	1	2	Masa: Oi, Kinji! Stop<br> stuffing your face<end><brk> and help with the work!<end><brk> We still have things<br> left to do!
11:$6EB9	EXTRA	1	21	2	3	Chief: N-Nagi? ...Is it<br> hopeless after all.<end><brk> On a child's legs, he<br> must be some 10 floors<br> on by now...<end><brk> The monsters<br> thereabouts are<br> fearsome...<end><brk> Oh, I am so worried...
14:$66DD	EXTRA	1	20	1	2	Masa: Eh? Build you a<br> house next time you<br> come?<end><brk> Did I say that?<end><brk> W-well. One of these<br> days...
14:$55D8	EXTRA	1	17	1	2	Kinji: Oh, there you<br> are! Come with me a<br> moment, <name>.<end><brk> There is something I<br> want to show you.<end>
14:$61BD	EXTRA	1	17	1	2	Tagura: Last night, you<br> mean?<end><brk> I always sleep soundly.<br> I do have strange<br> dreams, though...<end>
11:$6A42	EXTRA	1	16	1	2	Yoshizota: They say you<br> came back from Kuyo<br> Pass?<end><brk> That is something.<br> Here, have a drink.<end>
14:$5562	EXTRA	1	15	1	2	Keyaki: Look how short<br> her thighs are.<end><brk> And so, Tanmomo.<br> Short-thigh.<end><brk> Do be good to her!
11:$6F8B	EXTRA	1	15	1	2	Rokuro: Tch! Sent back,<br> were you! No good after<br> all!<end><brk> Going up there is a<br> waste of time.<end>
11:$6B77	EXTRA	1	13	1	2	Nagi: It will be all<br> right, missus.<end><brk> This fellow here will<br> save her, I know it!<br> Right!<end><mode0>
11:$5803	EXTRA	1	11	3	4	Innkeeper: Tonight is on<br> me, so drink your fill!<end><brk> ...Though, now I look,<br> you are loaded down<br> with baggage.<end><brk> You cannot relax like<br> that.<end><brk> Best put your precious<br> things in the<br> Warehouse.<end><brk> It would not do to get<br> drunk and lose them...
11:$72CE	EXTRA	1	11	1	2	Gon: Uuungh. That smelly<br> weasel the other day.<end><brk> So he was a friend of<br> yours. Uuungh.<end>
14:$56B2	EXTRA	1	10	1	2	Masa: This ought to make<br> your adventuring a good<br> deal easier.<end><brk> Good luck with Fumi!<end>
11:$6359	EXTRA	1	10	1	2	Gon: Koppa? Never heard<br> of him.<end><brk> Uuungh. Were you meant<br> to meet up in this<br> village?<end>
14:$5840	EXTRA	1	9	1	2	Keyaki: Lately the<br> villagers seem to have<br> accepted you, <name>.<end><brk> It makes me so happy...<end>
14:$5924	EXTRA	1	9	1	2	Keyaki: Are you all<br> right? ...Oh, good.<end><brk> All I could think of<br> was your wounds,<br> <name>...<end>
14:$68C6	EXTRA	1	6	1	2	Koppa: Hey <name>, over<br> there!<end><brk> Eh? Keyaki is there<br> too. Looks like they<br> are talking.<end>
14:$6580	EXTRA	1	4	1	2	Nagi: Eh? You lot...<end><brk> I know! You were about<br> to wet yourself and<br> turned back!<end>
11:$73E5	EXTRA	1	4	1	2	Kinji: We must build it<br> quickly!<end><brk> But I am hungry and<br> have no strength in me.<end>
14:$6510	EXTRA	1	3	1	2	Old Seer: Hm? What is<br> it?<end><brk> Ah! Surely not... you<br> have come to see me...<br> ooh.<end>
11:$732C	EXTRA	1	3	1	2	Masa: Oh, it is you!<end><brk> ...Sorry. We are in the<br> middle of something<br> important.<end>
11:$66BA	EXTRA	1	2	1	2	Rokuro: Nagi! Nagi is<br> gone!<end><brk> I have looked<br> everywhere and cannot<br> find him!!<end>
14:$4D19	EXTRA	1	0	11	12	Yoshizota: An unsettled<br> land, where all manner<br> of things happen...<end><brk> I came here to take the<br> power of this earth for<br> my own.<end><brk> What if I had the<br> village drink this drug<br> of mine?<end><brk> They turn to monsters<br> and can never turn<br> back.<end><brk> And they obey no one<br> but me.<end><brk> It does not work on<br> grown-ups. Hence the<br> child sacrifices.<end><brk> So close... I was so<br> close to finishing this<br> cave, too...<end><brk> Why do you try to save<br> them? For a village of<br> monsters!<end><brk> You would strike down a<br> human being, to save<br> monsters?<end><brk> ............ I have<br> another drug here.<end><brk> Made from the life<br> blood of the children,<br> a little at a time.<end><brk> What happens when a<br> human drinks it? Let me<br> show you!<end>
14:$53D3	EXTRA	1	0	1	2	Keyaki: Hm? What was I<br> praying for?<end><brk> ...Hee hee. That is a<br> secret.<end>
14:$5AB1	EXTRA	1	0	1	2	Nagi: ............<end><brk> Waaaaaaah!! This place<br> is scaaary after all!!<end>
14:$5B5B	EXTRA	1	0	1	2	Nagi: Ah, you came!<end><brk> Let us hurry back. I am<br> still holding it in.<end>
14:$5CE0	EXTRA	1	0	10	11	Chief: Moonlight falls<br> upon us, and we change<br> shape.<end><brk> It is in the blood of<br> our line.<end><brk> Beyond the sea they<br> call our kind vampires,<br> I believe.<end><brk> It is why we live<br> hidden, where no eye<br> falls on us.<end><brk> Orochi... the<br> sacrifices... Kuyo<br> Pass...<end><brk> Forgive me. Of those I<br> cannot speak.<end><brk> Even this much likely<br> reaches Orochi's<br> ears...<end><brk> Beneath the offering<br> box at the shrine lies<br> a scroll.<end><brk> Read it, and Dragonmaw<br> should open.<end><brk> <name>, I beg you! Save<br> Fumi!<end><brk> Save her, and the<br> custom of sacrifice is<br> broken.<end><brk> Deliver Fumi from the<br> cursed fate of this<br> village!
14:$6127	EXTRA	1	0	1	2	Gon: That thing there is<br> Koppa?<end><brk> Uuungh. Smells about<br> right...<end>
14:$62C6	EXTRA	1	0	1	2	Innkeeper: This is<br> Moonlight Village.<end><brk> Did you not leave this<br> place?<end>
14:$6386	EXTRA	1	0	3	4	Priest: What! You cannot<br> leave the village! Hmm.<end><brk> I always give counsel<br> to those who travel the<br> dungeons.<end><brk> What would you ask of<br> me?<end><brk> ...Or so I would say.<br> But this one is beyond<br> me too.<end>
14:$6404	EXTRA	1	0	1	2	Fumi's Mom: Ah, <name>.<end><brk> You did so much for us<br> then... Thank you,<br> truly.<end>
14:$64A7	EXTRA	1	0	1	2	Masa: Eh? If it is not<br> <name>.<end><brk> What on earth is the<br> matter...<end>
14:$66AC	EXTRA	1	0	1	2	Chief: Still cannot get<br> out!<end><brk> Hmm. Strange things do<br> happen...<end>
14:$6765	EXTRA	1	0	1	2	Nagi: Again?<end><brk> Holding it in that long<br> is bad for you.<end>
11:$5BD1	EXTRA	1	0	1	2	Gon: Wa-ha-ha-haaa!<end><brk> You are quite the<br> joker, you are!<end>
11:$639F	EXTRA	1	0	1	2	Fumi's Mom: Custom or<br> no...<end><brk> why does it have to be<br> my daughter...<end>
11:$6431	EXTRA	1	0	1	2	Kinji: It is hard on him<br> too.<end><brk> He was closer to Fumi<br> than anyone.<end>
11:$6713	EXTRA	1	0	1	2	Rokuro: Surely not...<br> no, there is no<br> mistake!<end><brk> He has gone to save<br> Fumi!<end>
11:$6BDF	EXTRA	1	0	1	2	Chief: What? Yoshizota?<end><brk> Th-that man is in the<br> village?!<end>
11:$6E00	EXTRA	1	0	1	2	Keyaki: So now it is<br> Fumi's turn at last.<end><brk> Here, take this!<end>
11:$6E94	EXTRA	1	0	1	2	Keyaki: So Kinji is<br> cheering you on too...<end><brk> That makes me happy.<end>
11:$7216	EXTRA	1	0	1	2	Masa: ......<end><brk> I-I am all right. It is<br> finally settling.<end>
11:$75B3	EXTRA	1	0	1	2	Kinji: They say Keyaki<br> has gone?<end><brk> Waaaaaaah!<end>
11:$75E1	EXTRA	1	0	1	2	Gon: Where can Keyaki<br> have gone?<end><brk> Uuungh. And I had my<br> eye on her too.<end>
11:$7964	EXTRA	1	0	1	2	Kinji: I think Keyaki<br> has feelings for<br> <name>...<end><brk> Ugh, I am so jealous...<end>
11:$7B58	EXTRA	1	0	1	2	Kinji: Gran, I have been<br> jilted.<end><brk> Food...<end>
11:$7BB5	EXTRA	1	0	1	2	Kinji: ...Keyakiii.<br> Waaah.<end><brk> Chomp chomp chomp<br> chomp!<end>
