# Menu translation — Shiren GB
#
# HISTORICAL SPLIT SOURCE — NOT CONSUMED BY THE CURRENT BUILD. Edit `script/en.tsv` and
# follow `TRANSLATING.md` / `VWF_BUDGETS.md`. Comments below preserve early POC decisions
# and may mention superseded fixed-cell limits; they are not translator instructions.
#
# KEY IS `loc` (bank:$addr), never the sequential id: ids are reassigned by sorted
# offset, so any change to extraction silently shifts an id-keyed file by one entry.
#
# Length: these are almost all table-referenced, so storage is not the limit — the tool
# relocates them. The real limit is DISPLAY WIDTH, and each menu box is sized to its
# widest entry. Budgets used here (cells, including the cursor space the tool prepends):
#     title/file  ~11    difficulty  5    places  9    action menu  6
#
# loc	english

# ---- title / file menu ----
11:$5330	Adventure
# game demonstrably draws, and covering the three shapes the sample had to cover:
# combat fragments with runtime substitutions, a speaker-prefixed village line, and one
# long multi-box conversation. Their purpose is to answer whether fixed-width English at
# 18 cells reads badly -- see HANDOFF.md TASK 2.
#
# Control codes are written by NAME (`<var>`, `<br>`, `<cE0:88>`), the same tokens
# codec.decode prints in script.tsv's `jp` column. Do NOT spell them `<$E2>`: an escape
# means "layout byte, reserve it out of the DTE code space", and a control code is
# already excluded by being >= $E0.

# ---- combat fragments (bank 13, relocatable, and already DTE-allowlisted) ----
# These are FRAGMENTS assembled at render time, not sentences: `<var>` pulls a name from
# the message queue and `<cE4>` a number, so each pair below draws as two lines of one
# box. Japanese orders them "X wa Y ni / dealt <cE4> points of damage"; English keeps the
# same split, with the verb on line 1 and the number on line 2, so no fragment boundary
# has to move.
#
# The widths quoted are the LITERAL cells. A `<var>` costs whatever the substituted name
# costs, and monster names are still Japanese, so the real width of these lines is not
# knowable until item and monster names are translated.
13:$4B66	<var> hit <var>
13:$4B6B	for <cE4> damage!
13:$4B7E	<var> hit you
13:$4B82	for <cE4> damage!
13:$4B94	Defeated <var>!
13:$4B9C	Got <cE5> Exp.
# "Dodged <var>!" rather than "Dodged <var>'s attack!" -- the latter is 22 literal cells
# before the name is substituted, so it could not fit the 18-cell line under ANY name.
13:$4BA7	You dodged <var>!
13:$4BB4	<var> missed!
# 11 literal cells, so this one tolerates a name of 7. "<var> reached level <cE4>!" would
# have been 20 literal cells and could never fit.
13:$4BC2	<var> is now Lv<cE4>!<cE0:23>

# ---- hunger warnings (bank 13; the last two are IN-PLACE and byte-capped) ----
# $45DF has 19 bytes and $45F3 has 16, and neither is DTE-allowlisted, so those two are
# hard byte limits with no compression to spend. "About to collapse!" is 20 bytes with
# the <cE0:88> prefix and does not fit; "Ready to drop!" does.
13:$45BC	<cE0:88>Getting hungry
13:$45CB	<cE0:88>Dizzy with hunger
13:$45DF	<cE0:88>Ready to collapse
13:$45F3	<cE0:88>Need food fast

# ---- village dialogue (bank 14, ALL in-place: the pointer is computed at runtime, so
# these cannot be repointed and must fit their original byte count exactly) ----
# The speaker prefix is where the budget goes. `おかみ「` is 4 bytes; `Innkeeper: ` is 11.
# The font has no `"` glyph (available punctuation is  !'()+,-./:?[]~ ), so attribution
# is `Name: ` with no quotes -- which is also 2 bytes cheaper than 「...」 would have been.
14:$5106	Keyaki: No need.<end><br> But I'm glad.
14:$5127	Keyaki: Ma'am, I'm<br> out for a bit.
# 189 of 190 bytes across 11 lines and 4 boxes. Same line and box structure as the
# Japanese; every line is 18 cells or fewer.
14:$5047	Innkeeper: You're<br> awake! You were<br> crying out so.<end><brk> I was worried.<br> Where are you?<br> Moonlight Village<end><brk> Monsters got you<br> at Kuyo Pass?<end><brk> If your strength<br> runs out there,<br> you wake up here.<end><brk> Now go thank<br> Keyaki - she has<br> cared for you.
