# Shiren GB — translation file. Keyed on `loc`, one string per line.
#
# READ `TRANSLATING.md` FIRST. It covers the three storage classes, the measured
# per-renderer Dot Gothic limits, the character set, control tokens, and every error
# build/worklist.tsv can print. `VWF_BUDGETS.md` is the canonical fit register.
#
# KEY IS `loc` (bank:$addr), never the sequential id: ids are reassigned by sorted
# offset, so any change to extraction silently shifts an id-keyed file by one entry.
#
# Length: these are almost all table-referenced, so storage is not the limit — the tool
# relocates them. Display limits are measured per path: pixels, source staging, temporary
# tiles, and runtime substitutions. Do not infer one universal character/cell budget.
#
# loc	english

# ---- title / file menu ----
11:$5330	Adventure
31:$4275	ABCDE Zabcd  yz.,'
31:$4288	FGHIJ efghi  -!?()
31:$429B	KLMNO jklmn  :/[]+
31:$42AE	PQRST opqrs  01234
31:$42C1	UVWXY tuvwx  56789
#31:$42DB	abc   Fwd Bck  End

# ==== DIALOGUE SAMPLE (TASK 2) ====================================================
# Ten real composer lines, chosen from a `msglog.py` transcript so every one is text the
# game demonstrably draws, and covering the three shapes the sample had to cover:
# combat fragments with runtime substitutions, a speaker-prefixed village line, and one
# long multi-box conversation. This was the original POC sample; production dialogue now
# uses the measured 30-source-glyph/144px Dot contract in `VWF_BUDGETS.md`.
#
# Control codes are written by NAME (`<var>`, `<br>`, `<cE0:88>`), the same tokens
# codec.decode prints in script.tsv's `jp` column. Do NOT spell them `<$E2>`: an escape
# means "layout byte, reserve it out of the DTE code space", and a control code is
# already excluded by being >= $E0.

# ---- combat fragments (bank 13, relocatable, and already DTE-allowlisted) ----
# These are FRAGMENTS assembled at render time, not sentences: `<var>` pulls a name from
# the message queue and `<cE4>` a number, so each pair below draws as two lines of one
# box. Japanese orders them "X wa Y ni / dealt <cE4> points of damage"; English keeps the
# same split, with the verb on line 1 and the number on line 2, so no fragment boundary
# has to move.
#
# Runtime substitutions share the same source and pixel canvas as the literal text.
# `fontaudit.py` reports unknown-producer variants separately; no 14/16-cell guess is a
# production wording limit.
13:$4B66	<var> hit <var>
13:$4B6B	for <cE4> damage!
13:$4B7E	<var> hit you
13:$4B82	for <cE4> damage!
13:$4B94	Defeated <var>!
13:$4B9C	Gained <cE5> Exp.
# The compact wording leaves room for the runtime name; exact producer/value measurement,
# not the old fixed-cell count, decides whether a longer alternative is safe.
13:$4BA7	You dodged <var>!
13:$4BB4	<var> missed!
# Keep the compact `Lv` terminology while the `<var>` producer census remains open.
13:$4BC2	<var> is now Lv<cE4>!<cE0:23>

# ---- hunger warnings (bank 13; the last two are IN-PLACE and byte-capped) ----
# $45DF has 19 bytes and $45F3 has 16, and neither is DTE-allowlisted, so those two are
# hard byte limits with no compression to spend. "About to collapse!" is 20 bytes with
# the <cE0:88> prefix and does not fit; "Ready to drop!" does.
13:$45BC	<cE0:88>Getting hungry
13:$45CB	<cE0:88>Dizzy with hunger
13:$45DF	<cE0:88>Ready to collapse
13:$45F3	<cE0:88>Need food fast

# ---- village dialogue (bank 14, ALL in-place: the pointer is computed at runtime, so
# these cannot be repointed and must fit their original byte count exactly) ----
# The speaker prefix is where the budget goes. `おかみ「` is 4 bytes; `Innkeeper: ` is 11.
# The font has no `"` glyph (available punctuation is  !'()+,-./:?[]~ ), so attribution
# is `Name: ` with no quotes -- which is also 2 bytes cheaper than 「...」 would have been.
14:$5106	Keyaki: Oh, you don't need to<br> thank me...<end><brk> But I'm just glad you're all<br> right.
14:$5127	Keyaki: Ma'am, I'm going to<br> step out for a bit.
# NOT fitted to 190 bytes -- 415, and it is REDIRECTED into the pool bank by tools/pool.py.
# This is the line that was cut to telegraphese to fit the old in-place budget; it is kept
# here at natural length as the worked example that the budget is now aggregate. The
# composer has three 144px lines and stages up to 30 source glyphs per line.
#
# Five lines here were 19 cells and were LOSING their last character on screen -- `at last!`
# drew `at last`, `gives out` drew `gives ou`. Nothing caught it until tools/dialogue_preview.py
# existed; `python3 tools/dialogue_preview.py 14:$5047` now draws the boxes. Boxes are kept
# aligned to sentences, the way the Japanese does it, rather than re-wrapped mechanically.
14:$5047	Innkeeper: Are you all<br> right?...<end><brk> You were having terrible<br> nightmares. I was worried<br> about you.<end><brk> Where are you? This is<br> Moonlight Village.<end><brk> Monsters got you at Kuyo<br> Pass, didn't they?<end><brk> If you collapse there, you<br> get thrown back here.<end><brk> Anyway, you should go<br> thank Keyaki.<end><brk> She's been looking after you<br> this whole time.

# ================================================================================
# SESSION 4a — BANK 13 SYSTEM TEXT (Dot composer: 30 glyphs / 144px, 3 lines)
#
# These are FRAGMENTS the message queue assembles at runtime, not sentences. Adjacent
# addresses draw as consecutive LINES of one box, so a pair whose Japanese dangles on a
# particle -- `<cE3>を`, `<cE3>は`, `なんと！ アイテムは` -- has to dangle in English too
# and be completed by the next entry. Every such pair is marked `+` below.
#
# BUDGETS. Runtime substitutions consume their actual source glyphs and Dot pixels inside
# the same 30/144 line. The former 14-cell `<var>` and 16-cell `<cE3>` reservations are
# historical audit warnings, not wording limits. Known item suffixes are enumerated
# exactly; the remaining producer-to-template census stays visible in `fontaudit.py`.
#
# THERE IS NO `%` GLYPH (the set is  !'()+,-./:?[]~ ), so the fullness messages say
# `is now <cE6>.` and drop the sign rather than spell out `pct`.

# ---- wind (the Kuyo Pass gale) ----
13:$4571	<cE0:2B>A sudden gale!!<cE7:A0>
13:$457F	...the wind has died down
13:$458B	...stronger than before!<cE7:3C>
13:$459A	<cE0:20><cEC:6E>Can't stand!<cE7:B4>
13:$45AE	<cE0:2C>A sudden gale!!<cE7:3C>

# ---- hunger (the four warnings above are TASK 2's and already reviewed) ----
13:$4604	<cE0:88>Starving now!

# ---- picking things up, putting them down ----
# `Got` remains the concise established pickup wording. The renderer itself now accepts
# up to 30 source glyphs and 144 painted pixels; exact item variants are audited.
13:$4614	Put down <cE3>
13:$461A	<cE1><cE0:4C>Got <cE3>
13:$4624	<cE0:4C>Got <cE3>
13:$462D	<cE1>Got <cE3>
13:$4635	You can't put it here.
13:$463F	There's nothing here.
13:$464A	Your pack is full.
13:$465E	<cE0:46>Equipped <cE3>
13:$4666	<cE0:48>Equipped <cE3>
13:$466E	<cE0:47>Removed <cE3>
13:$4678	<cE0:49>Removed <cE3>
13:$4682	<cE0:4E>It was cursed!
13:$468D	<cE0:4E>Cursed! It won't come off.
13:$46A0	Stepped on <cE3>
13:$46A6	Put down <cE3>
# + pair: `<cE3>を` / `くすりにしてのんだ` -- the herb-into-medicine message.
13:$46AC	Consumed the <cE3>
13:$46AF	as medicine.
13:$46BA	Ate <cE3>
13:$46C1	Read <cE3>
13:$46C8	You can't put shop goods in.
13:$46D9	Waved <cE3>
13:$46DF	Pushed <cE3>
# + triple: `<cE3>のなかに` completes with EITHER `<cE3>をいれた` (stored an item) or
# `はいった` (Shiren climbed in himself), so line 1 has to serve both.
13:$46E5	Into the <cE3> went
13:$46EB	the <cE3>.
13:$46F1	you.
# + pair: out of the pot again
13:$46F6	Out of the <cE3>
13:$46FD	came the <cE3>.<cE7:05>
13:$4706	A Pot can't go in a Pot.
13:$4719	The Pot is full.
13:$472A	<cE3> shattered!
# + `<cE3>は` completes with any of the three below -- a thrown item's fate.
13:$4731	The <cE3>
13:$4734	hit <var>.
13:$473B	fell to the ground.
13:$4744	fell and is now useless.
13:$4756	You can't dig here.
13:$475F	<cE3> broke.
# + `しかし うでわのまりょくで` completes with one of the three saves below.
13:$4767	But the Bracer's magic
13:$4777	kept it from rusting.
13:$477F	warded off the curse.
13:$4788	kept you from confusion.

# ---- eating, and the status effects ----
13:$4792	Your belly is full!
13:$47A1	You feel a little fuller.
13:$47B0	You feel fuller, but
13:$47BB	<cE0:85>HP fell by <cE4>.
13:$47CD	You slowed down.
13:$47DB	Dropped <cE3>
# + `つえのこうかで <var>に` -- the staff's effect, on <var>; the effect follows.
13:$47E2	Magic hit <var>
13:$47EF	<cE0:86>You can't walk straight!
13:$4800	<cE0:87>You're terribly sleepy...
13:$4814	Strength fell by <cE4>.
13:$4825	Items are identified on pickup
13:$483B	Strength can't be lowered!
13:$484C	The egg guards Strength.
13:$4862	You can no longer sleep!
13:$4871	But the egg kept you awake.
13:$4886	You won't get hungry!
13:$4893	You no longer wake monsters!
13:$48A3	<cE0:6A>HP rose by <cE4> points.
13:$48B5	<cE0:6B>You can see the unseen!
13:$48CB	<cE0:6D>You are invincible!
13:$48DB	Invincibility wore off.
# + pair: `しかし アイテムをつかって` / `ふっかつした！`
13:$48E7	<cE0:6E>But an item activated
13:$48F7	and revived you!
13:$48FF	<cE0:6F>Max HP rose by <cE4>.
13:$4916	You forgot all item IDs!
# + pair, and again below at $4960: a stat's MAXIMUM, then the change.
13:$492A	Max fullness
13:$493B	<cE0:70>is now <cE6>.
13:$4944	<cE0:71>is now <cE6>.
13:$494D	<cE0:73>Strength rose by <cE4>.
13:$4960	<cE0:73>Max Strength rose
13:$496F	by <cE4> points.
13:$497B	<cE0:72>Strength recovered.
13:$4989	<cE0:86><var> is confused!
13:$4994	But nothing happened.
# + pair: `<cE3>の` / `のろいがとけた！`
13:$49A2	The <cE3>'s
13:$49A5	curse was lifted!
# + pair: `なんと！<cE3>は` / `<cE3>だった` -- an unidentified item revealing itself
13:$49AF	What! The <cE3>
13:$49B6	was a <cE3>!
13:$49BC	This is a <cE3>!
13:$49C4	Lucky!
13:$49CA	All items were identified!
13:$49DF	The floor map was revealed.
13:$49F4	<cE0:56>Size increased by <cE4>.
13:$4A01	<cE0:58>Your mouth is sealed!
13:$4A11	Your mouth is sealed!<cE7:0A>
13:$4A1E	<cE0:68>Nearby foes froze!
13:$4A35	You can pick up items!
13:$4A46	Your HP now recovers!
13:$4A58	You can walk straight!
13:$4A6A	<cE0:5A>Monster speed doubled!
13:$4A80	The wall broke!
13:$4A90	<var> won't appear.
# + pair: the Removal Scroll's own instructions
13:$4A9C	Throw this scroll unread
13:$4AAF	to banish that species.
13:$4AC1	<cE0:60>You forgot the map!
# + pair: `<cE3>が` / `<cE3>になった`
13:$4AD2	The <cE3>
13:$4AD6	became a <cE3>!
13:$4ADC	Gear is now gold-plated!
13:$4AF1	Sucked out the contents.
13:$4AFD	<cE0:62>You can't pick up items!
13:$4B12	You can't pick up items!
13:$4B1F	But nothing was stolen.
13:$4B2E	No arrows are equipped.
13:$4B3D	<cE0:74><var> got faster!
13:$4B4B	What! A <cE3>!
# The shop price line. Two leading spaces are the ROM's own indent; `：` is `:`.
13:$4B59	  Sell: <cE5> Gitan<end>

# ---- combat ----
# `<var>はレベル<cE4>にあがった` and its five siblings. `Lv` is established terminology;
# runtime fit is audited against the Dot canvas rather than the original fixed-cell rule.
13:$4BD2	<var> fell to Lv<cE4>!<cE0:89>
# + pair: leveling into a different FORM -- `<var>はレベルがあがって` / `<var>になった`
13:$4BE2	<var> leveled up<cE0:24>
13:$4BF2	<var> leveled down<cE0:89>
13:$4C02	into a <var>!
13:$4C08	<var> is watching.<cE7:05>
13:$4C15	<var> dozes.
13:$4C1E	A critical hit!<cE7:14><mode0>
13:$4C2D	<var> fell...<cE7:1E><mode1>
# + pair: `<var>は <var>から` / `<cE3>をぬすんだ` -- thief, victim, then the goods.
13:$4C3B	<var> robbed <var>
13:$4C42	of <cE3>!
13:$4C4A	chanted a strange spell.
13:$4C58	<var> spat rotten fluid.
13:$4C67	Your sword rusted!
13:$4C76	Your shield rusted!
13:$4C85	<cE3> is safe.
13:$4C91	Sword won't rust.
13:$4CA5	Shield won't rust.
13:$4CB9	Shield plating held.
13:$4CCD	Sword plating held.
13:$4CE1	Sword plating peeled!
13:$4CF3	Shield plating peeled!
13:$4D05	Sword fusion undone!
13:$4D18	Shield fusion undone!
13:$4D2B	Twisty Hani did its twist!
13:$4D3F	<var> fell to Lv<cE4>
13:$4D4D	<var> drained Str.
13:$4D59	Max Strength fell by <cE4>.
13:$4D6C	<cE0:E6>A painful blow!<cE7:14><mode0>
# This authored break keeps subject and target readable. The box still holds three lines;
# its old 13+14 fixed-cell derivation is superseded by the runtime pixel audit.
13:$4D7D	Fluffy Bunny<br>healed <var>
13:$4D88	with a spell.
13:$4D98	It possessed you!
13:$4DA0	<var> warped away.
13:$4DAA	<var> got help!
13:$4DB6	You became a Big Onigiri!
13:$4DCA	chanted a curse.
13:$4DD9	Your shield was cursed!
# + pair: either subject line completes with `すべて のろわれた！`
13:$4DED	Your equipped items
13:$4DFC	The items you held
13:$4E08	were all cursed!
13:$4E14	<var> cast a hex.<cE7:05>
# + pair: `なんと！ アイテムは` or `なんと！ かいだんは` / `モンスターだった！`
13:$4E24	What! The item
13:$4E2F	What! The stairway
13:$4E3B	was a monster!
13:$4E46	The monster vanished.
13:$4E59	<var> cast Hunger!
13:$4E66	Fullness is now <cE6>.<cE0:71>
13:$4E79	<var> split in two!

# ---- traps ----
13:$4E84	A Pitfall Trap!
13:$4E96	But you didn't fall in.
13:$4EA4	In a Bear Trap!<cE0:75>
13:$4EB6	In a Bear Trap!
13:$4EC6	The Bear Trap won't let go!<cE0:75>
13:$4ED9	You finally broke free!
13:$4EE4	But you slipped right through.
13:$4EF2	A Spring!
13:$4EFE	It didn't go off.
13:$4F10	A Poison Arrow Trap!
13:$4F22	A poison arrow flew out!
13:$4F30	A switch clicked!
13:$4F40	Shield rusted!
13:$4F4F	Nothing equipped can rust.
13:$4F62	Switch clicked!
13:$4F72	White gas burst out!
13:$4F89	<var> fell asleep!
13:$4F96	...too sleepy to do anything.
13:$4FA5	You finally woke up!
13:$4FB1	You hit a bump in the floor!
13:$4FC3	You tripped and fell!
13:$4FD5	But you weren't badly hurt.
13:$4FE6	You hit an Alarm Trap!
13:$4FF9	All sleeping monsters woke up!
13:$500C	You hit a Summoning Trap!<cE7:0F>
13:$5022	<var> was surrounded!
13:$5032	A Spinning Trap!
13:$5042	<var> got confused!
13:$504E	A strange device!
13:$5060	<cE0:88>Grrr... your stomach growls!
13:$5073	But nothing changed.
13:$5086	Lukewarm water gushed out!
# + pair
13:$5096	Onigiri got soaked
13:$50A7	and turned to mush!
13:$50B7	All your gear came off!
13:$50CD	But nothing was equipped.
13:$50E0	A huge boulder fell!
13:$50F4	<var> slowed down!
13:$5104	Back to normal speed.
13:$5113	A Big Landmine Trap!
13:$5127	But it didn't explode.
13:$513D	A Landmine Trap!
13:$514C	But it didn't explode.

# ---- room announcements ----
13:$5161	A Monster House!!<cE7:14>
13:$5170	A Thief House!!<cE7:14>
13:$5180	A Drain House!!<cE7:14>
13:$518F	A One-Eye House!!<cE7:14>
13:$519D	A Ghost House!!<cE7:14>
13:$51AC	A Power House!!<cE7:14>
13:$51BA	A Guard Dog Squad!!<cE7:14>
13:$51C8	A Dragon House!!<cE7:14>
13:$51D8	Thief!!<cE7:14>

# ---- the suspend-and-resume notice (three lines of one box) ----
# `「ぼうけんにでる」` is quoted in the Japanese; there is no `"` glyph, and the menu entry
# it names is `Adventure` (11:$5330), so it is referred to by name instead.
13:$51E3	<cE0:22><cE7:5A>You may switch off now.
13:$51F9	Select Adventure to
13:$520F	resume from here.

# ================================================================================
# SESSION 4b — ITEM DESCRIPTIONS (Dot help path: 21 glyphs / 144px, 4 lines)
#
# A DIFFERENT RENDERER AND A DIFFERENT BUDGET. These 122 strings are reached through
# `13:$554A`, staged by `13:$7E49` into `$C616` and drawn by bank 31 as box 7 -- x=0, y=3,
# five rows of 18 tiles. Row 1 is the item NAME, so descriptions get four 144px rows.
# Menu VWF accepts 21 source glyphs per row. `dialogue_preview.py <loc>` checks both the
# source guard and exact Dot painted extent.
#
# `<brk>` IS A PAGE, and the page count is kept identical to the Japanese on purpose --
# the unit selector at `13:$7E0D` counts `$EE`/`$FF` markers to page forward, so a page
# added or dropped changes what the player can reach. Tighten the English instead.
#
# `<cF0:xx>` PASTES ONE OF THE 13 SHARED LINES from `11:$55AC` inline at that point --
# it is text, not a screen effect, and spends its own source glyphs and pixels. They are
# translated at the bottom of this block. `<cF0:03>` (`When equipped:`) uses its own row.
#
# Identity-hidden items do NOT select one of these rows. With `$CF7B` bit 7 clear,
# `13:$7E0D` returns the directly embedded fallback at `13:$5537`. It has no pointer-table
# reference and therefore no TSV key; `tools/itemfix.py` safely replaces its exact 18-byte
# Japanese sentence with `Effect is unknown.` for every appearance/category.
# The same formatter copies a second direct literal from `4:$5773` into the preceding
# title row; its 11-byte `みしきべつのアイテム` becomes the compact heading `Unknown`.

# ---- swords ----
13:$5684	<cF0:00><br> <end>
13:$568A	A long-hafted blade<br>like a naginata.<br><end><cF0:00>
13:$56A4	A reliable sword<br>used by wanderers.<br><cF0:00><br> <end>
13:$56C1	Deals heavy damage<br>to Dragons.<br><cF0:00><br> <end>
13:$56E7	The famed Doutanuki,<br>forged by Genma.<br><cF0:00><br> <end>
13:$5706	A legendary blade<br>forged by the genius<br>smith Kabura.<br><cF0:00><end>
13:$5736	Against Ghosts, it<br><cF0:01><br><cF0:00><end>
13:$574D	Use it to dig walls.<br>It boosts attack.<br>It breaks after<br>several digs.<end>
13:$5793	Normal attacks never<br>miss.<br><end><cF0:00>
13:$57A9	Often lands critical<br>hits.<br><end><cF0:00>
13:$57BF	Attacks all three<br>spaces in front.<br><cF0:00><br> <end>
13:$57E2	Against one-eyed<br>monsters, it<br><cF0:01><br><cF0:00><end>
13:$57F6	Against foes that<br>drain stats, it<br><cF0:01><br><cF0:00><end>
13:$5810	A Katana forged to<br>its ultimate form.<br><end><cF0:00>
13:$5827	The ultimate form of<br>Manji Kabura.<br><cF0:00><br> <end>
13:$5849	Mamel ancestors are<br>said to have forged<br>this legendary sword<br>to become stronger.<brk>But no Mamel could<br>equip it, so they<end><br>gave up.

# ---- shields ----
13:$58A3	Never rusts. Slows<br>Fullness loss.<br><end><cF0:02>
13:$58B8	A shield made from<br>bronze.<br><end><cF0:02>
13:$58CD	<cF0:02><br>Never rusts.<end>
13:$58D9	A shield made from<br>iron.<br><end><cF0:02>
13:$58EB	<cF0:02><br>Reduces damage from<br>Dragon fire.<br> <end>
13:$5915	Forged from Fuuma<br>iron. Its defense is<br>exceptionally high.<br><end><cF0:02>
13:$5940	Counters monster<br>attacks.<br><cF0:02><br> <end>
13:$5967	High defense, but<br>its weight speeds up<br>Fullness loss.<br><cF0:02><end>
13:$5993	Reflects magical<br>attacks.<br><end><cF0:02>
13:$59A8	Makes enemy attacks<br>miss more often.<br><end><cF0:02>
13:$59C2	Said to repel one<br>hundred demons. Its<br>defense is immense.<br><end><cF0:02>
13:$59FA	High defense, but it<br>weakens whenever you<br>are hit.<br><cF0:02><end>
13:$5A2C	Reduces damage from<br>explosions.<br><end><cF0:02>
13:$5A47	Prevents monsters<br>from stealing items<br>or Gitan.<br><end><cF0:02>
13:$5A5F	The ultimate form of<br>the Fuuma Shield.<br><cF0:02><br> <end>
13:$5A7C	Mamel ancestors are<br>said to have forged<br>a legendary shield<br>to become stronger.<brk>But no Mamel could<br>equip it, so they<end><br>gave up.

# ---- bracers. `<cF0:03>` is `When equipped:`; each expansion uses its own row ----
13:$5AD3	<cF0:03><br>you walk on water.<end>
13:$5AEB	<cF0:03><br>you can haggle in<br>shops.<end>
13:$5B04	<cF0:03><br>Fullness never falls.<end>
13:$5B15	<cF0:03><br>Fullness drops fast.<end>
13:$5B29	<cF0:03><br>HP recovers faster,<br>but Fullness also<br>falls faster.<end>
13:$5B57	<cF0:03><br>weapons and shields<br>do not rust.<end>
13:$5B6D	<cF0:03><br><end>critical hits occur<br>more often.
13:$5B88	<cF0:03><br>you take critical<br>hits more often.<end>
13:$5BA2	<cF0:03><br><end>carried items cannot<br>be cursed.
13:$5BC4	<cF0:03><br>thrown items pierce<br>through creatures.<end>
13:$5BDF	<cF0:03><br>you gain more Exp<br>from defeated foes.<end>
13:$5C01	<cF0:03><br>you may drop carried<br>items.<end>
13:$5C1A	<cF0:03><br>you sense monsters<br>and item locations.<end>
13:$5C36	<cF0:03><br>you cannot become<br>confused.<end>
13:$5C47	<cF0:03><br>picked-up items are<br>identified.<end>

# ---- arrows ----
13:$5C62	<cF0:06><br>from a distance.<brk><cF0:07><br><end><cF0:08>
13:$5C78	<cF0:06><br>and pierce them.<brk><cF0:07><br><end><cF0:08>

# ---- food ----
13:$5C92	Eating this restores<br>a little Fullness.<br> <end>
13:$5CAB	Eating this restores<br>Fullness.<br> <end>
13:$5CC1	Restores a little<br>Fullness, but its<br>poison harms you.<end>
